ticket_id,created_date,product,feature,severity,summary,status,resolved_days
T00019,2025-10-27,UCS,Packet loss,low,Customer reports packet loss on UCS; intermittent since last change window.,resolved,3
T00020,2025-09-18,UCS,VPN tunnel drop,low,Customer reports vpn tunnel drop on UCS; intermittent since last change window.,open,
T00021,2025-11-18,NX-OS,Auth failure,medium,Customer reports auth failure on NX-OS; intermittent since last change window.,open,
T00022,2025-07-15,Meraki,HA failover,medium,Customer reports ha failover on Meraki; intermittent since last change window.,pending,
T00023,2025-01-06,Webex,Firmware upgrade,medium,Customer reports firmware upgrade on Webex; intermittent since last change window.,resolved,5
T00024,2025-11-25,ASA,VPN tunnel drop,medium,Customer reports vpn tunnel drop on ASA; intermittent since last change window.,resolved,12
T00025,2025-05-15,Meraki,Auth failure,medium,Customer reports auth failure on Meraki; intermittent since last change window.,open,
T00026,2025-11-17,ASA,DNS resolution,medium,Customer reports dns resolution on ASA; intermittent since last change window.,resolved,6
T00027,2025-03-24,Meraki,Config sync,critical,Customer reports config sync on Meraki; intermittent since last change window.,pending,
T00028,2025-11-03,ASA,CPU spike,low,Customer reports cpu spike on ASA; intermittent since last change window.,resolved,14
T00029,2025-06-07,NX-OS,VPN tunnel drop,high,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,pending,
T00030,2025-02-13,Webex,CPU spike,low,Customer reports cpu spike on Webex; intermittent since last change window.,resolved,13
T00031,2025-03-06,NX-OS,Firmware upgrade,critical,Customer reports firmware upgrade on NX-OS; intermittent since last change window.,resolved,9
T00032,2025-11-07,UCS,HA failover,critical,Customer reports ha failover on UCS; intermittent since last change window.,resolved,12
T00033,2025-04-13,Webex,Interface flapping,critical,Customer reports interface flapping on Webex; intermittent since last change window.,resolved,8
T00034,2025-09-22,UCS,VPN tunnel drop,low,Customer reports vpn tunnel drop on UCS; intermittent since last change window.,resolved,10
T00035,2025-10-11,NX-OS,License activation,low,Customer reports license activation on NX-OS; intermittent since last change window.,resolved,1
T00036,2025-04-28,IOS-XE,Packet loss,high,Customer reports packet loss on IOS-XE; intermittent since last change window.,open,
T00037,2025-05-02,ASA,Firmware upgrade,low,Customer reports firmware upgrade on ASA; intermittent since last change window.,open,
T00038,2025-10-20,Meraki,CPU spike,high,Customer reports cpu spike on Meraki; intermittent since last change window.,resolved,4
T00039,2025-02-18,IOS-XE,Firmware upgrade,low,Customer reports firmware upgrade on IOS-XE; intermittent since last change window.,resolved,14
T00040,2025-01-28,Webex,License activation,medium,Customer reports license activation on Webex; intermittent since last change window.,open,
T00041,2025-06-23,IOS-XE,BGP peering,low,Customer reports bgp peering on IOS-XE; intermittent since last change window.,resolved,7
T00042,2025-04-04,ASA,CPU spike,high,Customer reports cpu spike on ASA; intermittent since last change window.,open,
T00043,2025-10-09,IOS-XE,VPN tunnel drop,critical,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,2
T00044,2025-05-02,NX-OS,CPU spike,medium,Customer reports cpu spike on NX-OS; intermittent since last change window.,resolved,1
T00045,2025-03-26,UCS,VPN tunnel drop,low,Customer reports vpn tunnel drop on UCS; intermittent since last change window.,pending,
T00046,2025-08-21,ASA,CPU spike,critical,Customer reports cpu spike on ASA; intermittent since last change window.,pending,
T00047,2025-10-12,Webex,Firmware upgrade,low,Customer reports firmware upgrade on Webex; intermittent since last change window.,resolved,1
T00048,2025-10-24,Webex,Memory leak,high,Customer reports memory leak on Webex; intermittent since last change window.,open,
T00049,2025-10-27,UCS,Memory leak,high,Customer reports memory leak on UCS; intermittent since last change window.,resolved,9
T00050,2025-02-11,NX-OS,VPN tunnel drop,low,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,resolved,7
T00051,2025-03-03,Meraki,BGP peering,medium,Customer reports bgp peering on Meraki; intermittent since last change window.,resolved,7
T00052,2025-12-03,Meraki,Memory leak,low,Customer reports memory leak on Meraki; intermittent since last change window.,resolved,11
T00053,2025-06-10,NX-OS,BGP peering,low,Customer reports bgp peering on NX-OS; intermittent since last change window.,resolved,8
T00054,2025-06-11,IOS-XE,VPN tunnel drop,medium,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,2
T00055,2025-02-07,Meraki,BGP peering,low,Customer reports bgp peering on Meraki; intermittent since last change window.,pending,
T00056,2025-02-05,NX-OS,Interface flapping,low,Customer reports interface flapping on NX-OS; intermittent since last change window.,resolved,12
T00057,2025-06-04,Meraki,HA failover,high,Customer reports ha failover on Meraki; intermittent since last change window.,resolved,11
T00058,2025-10-11,ASA,Config sync,low,Customer reports config sync on ASA; intermittent since last change window.,resolved,5
T00059,2025-03-01,IOS-XE,Auth failure,low,Customer reports auth failure on IOS-XE; intermittent since last change window.,resolved,4
T00060,2025-06-25,NX-OS,Firmware upgrade,high,Customer reports firmware upgrade on NX-OS; intermittent since last change window.,resolved,5
T00061,2025-01-27,IOS-XE,License activation,high,Customer reports license activation on IOS-XE; intermittent since last change window.,open,
T00062,2025-06-20,NX-OS,License activation,low,Customer reports license activation on NX-OS; intermittent since last change window.,resolved,9
T00063,2025-12-28,UCS,Memory leak,low,Customer reports memory leak on UCS; intermittent since last change window.,pending,
T00064,2025-12-20,NX-OS,Memory leak,high,Customer reports memory leak on NX-OS; intermittent since last change window.,resolved,3
T00065,2025-08-09,NX-OS,VPN tunnel drop,low,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,pending,
T00066,2025-01-21,ASA,BGP peering,low,Customer reports bgp peering on ASA; intermittent since last change window.,open,
T00067,2025-10-14,UCS,HA failover,high,Customer reports ha failover on UCS; intermittent since last change window.,pending,
T00068,2025-05-02,NX-OS,HA failover,high,Customer reports ha failover on NX-OS; intermittent since last change window.,resolved,1
T00069,2025-04-02,Webex,Config sync,high,Customer reports config sync on Webex; intermittent since last change window.,resolved,11
T00070,2025-05-08,ASA,BGP peering,high,Customer reports bgp peering on ASA; intermittent since last change window.,resolved,1
T00071,2025-08-29,NX-OS,BGP peering,critical,Customer reports bgp peering on NX-OS; intermittent since last change window.,resolved,14
T00072,2025-04-27,NX-OS,VPN tunnel drop,low,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,resolved,14
T00073,2025-02-05,ASA,Interface flapping,medium,Customer reports interface flapping on ASA; intermittent since last change window.,resolved,14
T00074,2025-10-02,ASA,Config sync,low,Customer reports config sync on ASA; intermittent since last change window.,pending,
T00075,2025-04-02,Meraki,HA failover,low,Customer reports ha failover on Meraki; intermittent since last change window.,open,
T00076,2025-08-11,ASA,Firmware upgrade,low,Customer reports firmware upgrade on ASA; intermittent since last change window.,resolved,9
T00077,2025-03-01,UCS,Packet loss,low,Customer reports packet loss on UCS; intermittent since last change window.,open,
T00078,2025-08-12,IOS-XE,Memory leak,high,Customer reports memory leak on IOS-XE; intermittent since last change window.,resolved,12
T00079,2025-12-10,NX-OS,Interface flapping,low,Customer reports interface flapping on NX-OS; intermittent since last change window.,resolved,6
T00080,2025-11-16,ASA,Firmware upgrade,low,Customer reports firmware upgrade on ASA; intermittent since last change window.,pending,
T00081,2025-09-17,ASA,Firmware upgrade,low,Customer reports firmware upgrade on ASA; intermittent since last change window.,resolved,9
T00082,2025-03-07,NX-OS,CPU spike,critical,Customer reports cpu spike on NX-OS; intermittent since last change window.,resolved,3
T00083,2025-11-12,Meraki,Interface flapping,medium,Customer reports interface flapping on Meraki; intermittent since last change window.,open,
T00084,2025-05-27,NX-OS,CPU spike,medium,Customer reports cpu spike on NX-OS; intermittent since last change window.,resolved,8
T00085,2025-08-15,UCS,Firmware upgrade,medium,Customer reports firmware upgrade on UCS; intermittent since last change window.,resolved,13
T00086,2025-03-28,Webex,VPN tunnel drop,medium,Customer reports vpn tunnel drop on Webex; intermittent since last change window.,resolved,6
T00087,2025-02-17,NX-OS,Firmware upgrade,low,Customer reports firmware upgrade on NX-OS; intermittent since last change window.,resolved,1
T00088,2025-01-24,NX-OS,HA failover,medium,Customer reports ha failover on NX-OS; intermittent since last change window.,resolved,8
T00089,2025-08-01,Webex,Memory leak,high,Customer reports memory leak on Webex; intermittent since last change window.,resolved,7
T00090,2025-05-05,NX-OS,License activation,low,Customer reports license activation on NX-OS; intermittent since last change window.,resolved,13
T00091,2025-02-24,UCS,BGP peering,high,Customer reports bgp peering on UCS; intermittent since last change window.,resolved,8
T00092,2025-01-26,Meraki,BGP peering,high,Customer reports bgp peering on Meraki; intermittent since last change window.,resolved,13
T00093,2025-08-26,Webex,Memory leak,medium,Customer reports memory leak on Webex; intermittent since last change window.,resolved,13
T00094,2025-08-15,Meraki,DNS resolution,high,Customer reports dns resolution on Meraki; intermittent since last change window.,resolved,9
T00095,2025-08-17,NX-OS,Auth failure,medium,Customer reports auth failure on NX-OS; intermittent since last change window.,resolved,4
T00096,2025-11-23,ASA,Auth failure,medium,Customer reports auth failure on ASA; intermittent since last change window.,resolved,5
T00097,2025-08-14,IOS-XE,Firmware upgrade,low,Customer reports firmware upgrade on IOS-XE; intermittent since last change window.,resolved,9
T00098,2025-02-11,NX-OS,VPN tunnel drop,low,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,resolved,4
T00099,2025-02-02,UCS,CPU spike,medium,Customer reports cpu spike on UCS; intermittent since last change window.,resolved,4
T00100,2025-08-04,UCS,Packet loss,medium,Customer reports packet loss on UCS; intermittent since last change window.,resolved,14
T00101,2025-10-22,UCS,CPU spike,critical,Customer reports cpu spike on UCS; intermittent since last change window.,resolved,7
T00102,2025-08-03,Meraki,Auth failure,medium,Customer reports auth failure on Meraki; intermittent since last change window.,resolved,4
T00103,2025-09-07,NX-OS,BGP peering,medium,Customer reports bgp peering on NX-OS; intermittent since last change window.,resolved,11
T00104,2025-12-14,UCS,Firmware upgrade,high,Customer reports firmware upgrade on UCS; intermittent since last change window.,pending,
T00105,2025-11-15,Meraki,VPN tunnel drop,low,Customer reports vpn tunnel drop on Meraki; intermittent since last change window.,resolved,1
T00106,2025-02-12,Webex,CPU spike,high,Customer reports cpu spike on Webex; intermittent since last change window.,resolved,5
T00107,2025-07-14,ASA,BGP peering,low,Customer reports bgp peering on ASA; intermittent since last change window.,resolved,7
T00108,2025-05-23,UCS,BGP peering,low,Customer reports bgp peering on UCS; intermittent since last change window.,open,
T00109,2025-10-04,IOS-XE,HA failover,low,Customer reports ha failover on IOS-XE; intermittent since last change window.,resolved,13
T00110,2025-11-30,IOS-XE,Auth failure,critical,Customer reports auth failure on IOS-XE; intermittent since last change window.,resolved,1
T00111,2025-11-15,NX-OS,BGP peering,medium,Customer reports bgp peering on NX-OS; intermittent since last change window.,open,
T00112,2025-04-22,UCS,Firmware upgrade,high,Customer reports firmware upgrade on UCS; intermittent since last change window.,resolved,10
T00113,2025-02-28,NX-OS,HA failover,low,Customer reports ha failover on NX-OS; intermittent since last change window.,open,
T00114,2025-06-09,Meraki,Firmware upgrade,critical,Customer reports firmware upgrade on Meraki; intermittent since last change window.,resolved,12
T00115,2025-04-12,IOS-XE,License activation,high,Customer reports license activation on IOS-XE; intermittent since last change window.,resolved,12
T00116,2025-06-04,Webex,License activation,low,Customer reports license activation on Webex; intermittent since last change window.,pending,
T00117,2025-01-22,ASA,Memory leak,medium,Customer reports memory leak on ASA; intermittent since last change window.,open,
T00118,2025-11-28,ASA,VPN tunnel drop,medium,Customer reports vpn tunnel drop on ASA; intermittent since last change window.,resolved,7
T00119,2025-07-05,Webex,Packet loss,medium,Customer reports packet loss on Webex; intermittent since last change window.,resolved,3
T00120,2025-09-25,Webex,BGP peering,high,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,8
T00121,2025-08-27,UCS,DNS resolution,medium,Customer reports dns resolution on UCS; intermittent since last change window.,resolved,4
T00122,2025-02-14,ASA,Packet loss,low,Customer reports packet loss on ASA; intermittent since last change window.,resolved,10
T00123,2025-12-09,UCS,Interface flapping,medium,Customer reports interface flapping on UCS; intermittent since last change window.,resolved,8
T00124,2025-04-19,ASA,DNS resolution,low,Customer reports dns resolution on ASA; intermittent since last change window.,resolved,12
T00125,2025-05-22,Meraki,VPN tunnel drop,critical,Customer reports vpn tunnel drop on Meraki; intermittent since last change window.,open,
T00126,2025-07-28,UCS,Memory leak,low,Customer reports memory leak on UCS; intermittent since last change window.,resolved,12
T00127,2025-09-09,UCS,Auth failure,low,Customer reports auth failure on UCS; intermittent since last change window.,resolved,12
T00128,2025-05-05,ASA,Firmware upgrade,low,Customer reports firmware upgrade on ASA; intermittent since last change window.,resolved,6
T00129,2025-08-06,Webex,Memory leak,low,Customer reports memory leak on Webex; intermittent since last change window.,resolved,5
T00130,2025-05-09,NX-OS,VPN tunnel drop,low,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,open,
T00131,2025-10-02,Webex,BGP peering,low,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,12
T00132,2025-10-29,Meraki,License activation,critical,Customer reports license activation on Meraki; intermittent since last change window.,resolved,5
T00133,2025-04-27,ASA,BGP peering,low,Customer reports bgp peering on ASA; intermittent since last change window.,resolved,5
T00134,2025-01-24,IOS-XE,Memory leak,medium,Customer reports memory leak on IOS-XE; intermittent since last change window.,open,
T00135,2025-09-09,IOS-XE,Packet loss,medium,Customer reports packet loss on IOS-XE; intermittent since last change window.,resolved,8
T00136,2025-06-24,NX-OS,HA failover,low,Customer reports ha failover on NX-OS; intermittent since last change window.,resolved,2
T00137,2025-02-03,UCS,CPU spike,medium,Customer reports cpu spike on UCS; intermittent since last change window.,resolved,3
T00138,2025-03-18,Meraki,Config sync,low,Customer reports config sync on Meraki; intermittent since last change window.,resolved,9
T00139,2025-08-02,Meraki,License activation,medium,Customer reports license activation on Meraki; intermittent since last change window.,resolved,7
T00140,2025-08-19,UCS,Interface flapping,medium,Customer reports interface flapping on UCS; intermittent since last change window.,resolved,10
T00141,2025-11-14,IOS-XE,License activation,high,Customer reports license activation on IOS-XE; intermittent since last change window.,pending,
T00142,2025-04-17,Webex,BGP peering,medium,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,3
T00143,2025-10-10,IOS-XE,BGP peering,medium,Customer reports bgp peering on IOS-XE; intermittent since last change window.,resolved,8
T00144,2025-05-30,IOS-XE,BGP peering,high,Customer reports bgp peering on IOS-XE; intermittent since last change window.,resolved,8
T00145,2025-02-06,Webex,BGP peering,low,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,10
T00146,2025-12-05,NX-OS,CPU spike,medium,Customer reports cpu spike on NX-OS; intermittent since last change window.,resolved,5
T00147,2025-03-14,IOS-XE,VPN tunnel drop,high,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,14
T00148,2025-10-19,ASA,CPU spike,medium,Customer reports cpu spike on ASA; intermittent since last change window.,resolved,7
T00149,2025-05-20,Meraki,Memory leak,medium,Customer reports memory leak on Meraki; intermittent since last change window.,resolved,7
T00150,2025-06-15,Meraki,BGP peering,low,Customer reports bgp peering on Meraki; intermittent since last change window.,pending,
T00151,2025-10-22,Meraki,Config sync,critical,Customer reports config sync on Meraki; intermittent since last change window.,resolved,5
T00152,2025-10-23,IOS-XE,Auth failure,low,Customer reports auth failure on IOS-XE; intermittent since last change window.,resolved,8
T00153,2025-05-23,NX-OS,HA failover,medium,Customer reports ha failover on NX-OS; intermittent since last change window.,resolved,2
T00154,2025-08-29,ASA,CPU spike,low,Customer reports cpu spike on ASA; intermittent since last change window.,open,
T00155,2025-03-24,ASA,CPU spike,medium,Customer reports cpu spike on ASA; intermittent since last change window.,resolved,7
T00156,2025-10-09,IOS-XE,CPU spike,low,Customer reports cpu spike on IOS-XE; intermittent since last change window.,resolved,13
T00157,2025-07-26,Meraki,DNS resolution,low,Customer reports dns resolution on Meraki; intermittent since last change window.,resolved,8
T00158,2025-07-31,IOS-XE,BGP peering,low,Customer reports bgp peering on IOS-XE; intermittent since last change window.,resolved,11
T00159,2025-08-15,IOS-XE,BGP peering,medium,Customer reports bgp peering on IOS-XE; intermittent since last change window.,pending,
T00160,2025-08-13,Webex,CPU spike,low,Customer reports cpu spike on Webex; intermittent since last change window.,resolved,13
T00161,2025-05-03,Webex,BGP peering,medium,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,2
T00162,2025-04-26,IOS-XE,CPU spike,low,Customer reports cpu spike on IOS-XE; intermittent since last change window.,resolved,8
T00163,2025-05-30,Meraki,Firmware upgrade,medium,Customer reports firmware upgrade on Meraki; intermittent since last change window.,resolved,8
T00164,2025-05-05,UCS,Memory leak,low,Customer reports memory leak on UCS; intermittent since last change window.,pending,
T00165,2025-09-18,Webex,Packet loss,high,Customer reports packet loss on Webex; intermittent since last change window.,resolved,13
T00166,2025-08-01,ASA,Config sync,medium,Customer reports config sync on ASA; intermittent since last change window.,resolved,5
T00167,2025-06-02,Meraki,Memory leak,medium,Customer reports memory leak on Meraki; intermittent since last change window.,resolved,8
T00168,2025-10-03,UCS,Interface flapping,medium,Customer reports interface flapping on UCS; intermittent since last change window.,resolved,8
T00169,2025-06-14,NX-OS,HA failover,low,Customer reports ha failover on NX-OS; intermittent since last change window.,resolved,14
T00170,2025-07-30,IOS-XE,Interface flapping,medium,Customer reports interface flapping on IOS-XE; intermittent since last change window.,pending,
T00171,2025-07-15,UCS,HA failover,high,Customer reports ha failover on UCS; intermittent since last change window.,resolved,3
T00172,2025-09-11,IOS-XE,VPN tunnel drop,critical,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,2
T00173,2025-08-14,IOS-XE,Memory leak,medium,Customer reports memory leak on IOS-XE; intermittent since last change window.,resolved,7
T00174,2025-12-02,NX-OS,VPN tunnel drop,high,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,resolved,10
T00175,2025-12-21,UCS,License activation,high,Customer reports license activation on UCS; intermittent since last change window.,resolved,14
T00176,2025-10-01,UCS,Config sync,medium,Customer reports config sync on UCS; intermittent since last change window.,resolved,8
T00177,2025-10-05,IOS-XE,License activation,low,Customer reports license activation on IOS-XE; intermittent since last change window.,resolved,5
T00178,2025-04-27,Webex,VPN tunnel drop,critical,Customer reports vpn tunnel drop on Webex; intermittent since last change window.,resolved,12
T00179,2025-02-21,UCS,BGP peering,low,Customer reports bgp peering on UCS; intermittent since last change window.,open,
T00180,2025-06-16,IOS-XE,Interface flapping,low,Customer reports interface flapping on IOS-XE; intermittent since last change window.,open,
T00181,2025-09-29,UCS,Memory leak,high,Customer reports memory leak on UCS; intermittent since last change window.,resolved,2
T00182,2025-11-09,UCS,License activation,low,Customer reports license activation on UCS; intermittent since last change window.,pending,
T00183,2025-03-15,NX-OS,CPU spike,low,Customer reports cpu spike on NX-OS; intermittent since last change window.,resolved,1
T00184,2025-08-27,ASA,Firmware upgrade,low,Customer reports firmware upgrade on ASA; intermittent since last change window.,resolved,6
T00185,2025-10-28,ASA,License activation,medium,Customer reports license activation on ASA; intermittent since last change window.,resolved,14
T00186,2025-06-04,NX-OS,HA failover,high,Customer reports ha failover on NX-OS; intermittent since last change window.,open,
T00187,2025-07-15,Meraki,Interface flapping,low,Customer reports interface flapping on Meraki; intermittent since last change window.,resolved,1
T00188,2025-12-04,UCS,BGP peering,medium,Customer reports bgp peering on UCS; intermittent since last change window.,resolved,12
T00189,2025-01-26,Meraki,Auth failure,high,Customer reports auth failure on Meraki; intermittent since last change window.,pending,
T00190,2025-04-28,Meraki,DNS resolution,low,Customer reports dns resolution on Meraki; intermittent since last change window.,resolved,5
T00191,2025-12-14,Webex,Auth failure,medium,Customer reports auth failure on Webex; intermittent since last change window.,open,
T00192,2025-02-19,Webex,License activation,low,Customer reports license activation on Webex; intermittent since last change window.,resolved,10
T00193,2025-07-06,Webex,VPN tunnel drop,critical,Customer reports vpn tunnel drop on Webex; intermittent since last change window.,resolved,7
T00194,2025-03-31,NX-OS,VPN tunnel drop,medium,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,pending,
T00195,2025-09-29,Meraki,Config sync,high,Customer reports config sync on Meraki; intermittent since last change window.,resolved,14
T00196,2025-09-04,ASA,Auth failure,low,Customer reports auth failure on ASA; intermittent since last change window.,open,
T00197,2025-02-08,NX-OS,Auth failure,low,Customer reports auth failure on NX-OS; intermittent since last change window.,resolved,11
T00198,2025-07-23,Meraki,Interface flapping,high,Customer reports interface flapping on Meraki; intermittent since last change window.,open,
T00199,2025-10-02,IOS-XE,CPU spike,medium,Customer reports cpu spike on IOS-XE; intermittent since last change window.,resolved,10
T00200,2025-07-15,Webex,Config sync,low,Customer reports config sync on Webex; intermittent since last change window.,resolved,1
T00201,2025-11-14,Meraki,Interface flapping,medium,Customer reports interface flapping on Meraki; intermittent since last change window.,resolved,11
T00202,2025-08-26,Webex,Interface flapping,medium,Customer reports interface flapping on Webex; intermittent since last change window.,open,
T00203,2025-01-20,ASA,HA failover,low,Customer reports ha failover on ASA; intermittent since last change window.,resolved,9
T00204,2025-03-11,UCS,CPU spike,medium,Customer reports cpu spike on UCS; intermittent since last change window.,resolved,9
T00205,2025-08-03,Meraki,Auth failure,low,Customer reports auth failure on Meraki; intermittent since last change window.,resolved,2
T00206,2025-09-08,Meraki,CPU spike,critical,Customer reports cpu spike on Meraki; intermittent since last change window.,open,
T00207,2025-07-09,NX-OS,CPU spike,critical,Customer reports cpu spike on NX-OS; intermittent since last change window.,resolved,2
T00208,2025-12-18,ASA,Memory leak,critical,Customer reports memory leak on ASA; intermittent since last change window.,resolved,7
T00209,2025-05-22,NX-OS,HA failover,critical,Customer reports ha failover on NX-OS; intermittent since last change window.,resolved,2
T00210,2025-12-06,NX-OS,License activation,medium,Customer reports license activation on NX-OS; intermittent since last change window.,open,
T00211,2025-06-20,NX-OS,HA failover,high,Customer reports ha failover on NX-OS; intermittent since last change window.,resolved,14
T00212,2025-10-11,NX-OS,License activation,high,Customer reports license activation on NX-OS; intermittent since last change window.,resolved,13
T00213,2025-03-17,Meraki,VPN tunnel drop,high,Customer reports vpn tunnel drop on Meraki; intermittent since last change window.,open,
T00214,2025-03-08,Meraki,BGP peering,low,Customer reports bgp peering on Meraki; intermittent since last change window.,resolved,1
T00215,2025-03-09,IOS-XE,Interface flapping,high,Customer reports interface flapping on IOS-XE; intermittent since last change window.,resolved,1
T00216,2025-03-31,ASA,VPN tunnel drop,high,Customer reports vpn tunnel drop on ASA; intermittent since last change window.,resolved,12
T00217,2025-02-02,UCS,CPU spike,low,Customer reports cpu spike on UCS; intermittent since last change window.,resolved,8
T00218,2025-09-15,NX-OS,Config sync,low,Customer reports config sync on NX-OS; intermittent since last change window.,resolved,14
T00219,2025-12-04,Meraki,Interface flapping,medium,Customer reports interface flapping on Meraki; intermittent since last change window.,open,
T00220,2025-09-03,UCS,CPU spike,low,Customer reports cpu spike on UCS; intermittent since last change window.,resolved,8
T00221,2025-02-07,IOS-XE,Interface flapping,low,Customer reports interface flapping on IOS-XE; intermittent since last change window.,open,
T00222,2025-11-16,Webex,License activation,high,Customer reports license activation on Webex; intermittent since last change window.,resolved,10
T00223,2025-09-29,ASA,CPU spike,medium,Customer reports cpu spike on ASA; intermittent since last change window.,open,
T00224,2025-12-26,IOS-XE,DNS resolution,medium,Customer reports dns resolution on IOS-XE; intermittent since last change window.,resolved,12
T00225,2025-04-21,UCS,CPU spike,low,Customer reports cpu spike on UCS; intermittent since last change window.,resolved,8
T00226,2025-07-24,UCS,Firmware upgrade,low,Customer reports firmware upgrade on UCS; intermittent since last change window.,resolved,5
T00227,2025-07-11,NX-OS,Firmware upgrade,medium,Customer reports firmware upgrade on NX-OS; intermittent since last change window.,open,
T00228,2025-02-13,IOS-XE,CPU spike,high,Customer reports cpu spike on IOS-XE; intermittent since last change window.,resolved,3
T00229,2025-10-12,IOS-XE,License activation,medium,Customer reports license activation on IOS-XE; intermittent since last change window.,resolved,2
T00230,2025-07-30,ASA,Packet loss,critical,Customer reports packet loss on ASA; intermittent since last change window.,resolved,12
T00231,2025-01-27,ASA,License activation,low,Customer reports license activation on ASA; intermittent since last change window.,resolved,4
T00232,2025-03-21,Webex,CPU spike,high,Customer reports cpu spike on Webex; intermittent since last change window.,resolved,9
T00233,2025-07-08,IOS-XE,Auth failure,medium,Customer reports auth failure on IOS-XE; intermittent since last change window.,resolved,14
T00234,2025-10-15,Meraki,License activation,medium,Customer reports license activation on Meraki; intermittent since last change window.,open,
T00235,2025-12-03,Webex,BGP peering,low,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,5
T00236,2025-06-23,ASA,VPN tunnel drop,high,Customer reports vpn tunnel drop on ASA; intermittent since last change window.,resolved,7
T00237,2025-02-05,NX-OS,Auth failure,critical,Customer reports auth failure on NX-OS; intermittent since last change window.,open,
T00238,2025-09-29,NX-OS,Interface flapping,medium,Customer reports interface flapping on NX-OS; intermittent since last change window.,resolved,5
T00239,2025-06-16,Meraki,License activation,high,Customer reports license activation on Meraki; intermittent since last change window.,resolved,13
T00240,2025-11-13,IOS-XE,Firmware upgrade,low,Customer reports firmware upgrade on IOS-XE; intermittent since last change window.,resolved,8
T00241,2025-11-07,UCS,CPU spike,low,Customer reports cpu spike on UCS; intermittent since last change window.,resolved,6
T00242,2025-08-09,IOS-XE,Interface flapping,medium,Customer reports interface flapping on IOS-XE; intermittent since last change window.,resolved,11
T00243,2025-06-07,IOS-XE,BGP peering,critical,Customer reports bgp peering on IOS-XE; intermittent since last change window.,open,
T00244,2025-04-15,ASA,Config sync,high,Customer reports config sync on ASA; intermittent since last change window.,resolved,5
T00245,2025-06-17,IOS-XE,VPN tunnel drop,high,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,7
T00246,2025-09-30,Webex,BGP peering,medium,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,6
T00247,2025-02-06,UCS,Packet loss,low,Customer reports packet loss on UCS; intermittent since last change window.,open,
